Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),sbi.co.in,szbi8.cyou
Indian Oil Corporation Limited (IOCL),iocl.com,isoclr.com
Airtel,airtel.in,airebels.in
State Bank of India (SBI),onlinesbi.sbi,onlinecasinosingapore.tv
Airtel,airtel.in,airtrend.co
State Bank of India (SBI),onlinesbi.sbi,onlineigri.net
State Bank of India (SBI),sbicard.com,scared.xyz
State Bank of India (SBI),onlinesbi.sbi,onlineshop1168.com
State Bank of India (SBI),onlinesbi.sbi,onlinecv.org
State Bank of India (SBI),sbi.co.in,sbi-lab.info
Airtel,airtel.in,airsysteml.com
State Bank of India (SBI),sbi.co.in,submit.agency
State Bank of India (SBI),sbi.co.in,skbgic.top
Airtel,airtel.in,airistal.com
State Bank of India (SBI),onlinesbi.sbi,onlineclinic.life
State Bank of India (SBI),onlinesbi.sbi,onlinenonaamscasino.live
Punjab National Bank (PNB),netpnb.com,n3n.us
National Informatics Centre (NIC),accounts.mgovcloud.in,sogemcloud.com
State Bank of India (SBI),sbi.co.in,stbuir.shop
State Bank of India (SBI),onlinesbi.sbi,onlineindiavisas.com
State Bank of India (SBI),onlinesbi.sbi,onlinefile.online
State Bank of India (SBI),onlinesbi.sbi,onlinesabong3.com
State Bank of India (SBI),onlinesbi.sbi,onlinewedding.in
State Bank of India (SBI),onlinesbi.sbi,onlinekitchen.org
State Bank of India (SBI),onlinesbi.sbi,online-casinopolis.com.pl
State Bank of India (SBI),onlinesbi.sbi,onlineparadigm.com
State Bank of India (SBI),onlinesbi.sbi,onlinezaimi.ru
Airtel,airtel.in,airtize.online
State Bank of India (SBI),onlinesbi.sbi,online77.click
State Bank of India (SBI),sbi.co.in,sb1ii4.info
State Bank of India (SBI),onlinesbi.sbi,onlineexhausts.site
State Bank of India (SBI),sbiepay.sbi,sepia.ngo
State Bank of India (SBI),onlinesbi.sbi,onlinebidwaves.com
Airtel,airtel.in,aireg.pro
State Bank of India (SBI),sbi.co.in,sbicr0.bond
State Bank of India (SBI),onlinesbi.sbi,onlinezucai.com
HDFC Bank,hdfc.com,hdfcloanservies.in
State Bank of India (SBI),sbi.co.in,sbivisor.com
State Bank of India (SBI),onlinesbi.sbi,onlineglobaldating.com
Punjab National Bank (PNB),netpnb.com,freshbeats.net.ru
State Bank of India (SBI),sbi.co.in,sbina.id
State Bank of India (SBI),onlinesbi.sbi,onlinebetalning1992.com
State Bank of India (SBI),onlinesbi.sbi,onlinegiftshub.com
State Bank of India (SBI),sbi.co.in,sbti2q.info
Airtel,airtel.in,artilex.ai
State Bank of India (SBI),onlinesbi.sbi,onlineclickshop.com
State Bank of India (SBI),onlinesbi.sbi,onlinefunmagic.com
State Bank of India (SBI),sbilife.co.in,simplife.co.uk
Airtel,airtel.in,air.cafe
State Bank of India (SBI),sbi.co.in,sbiz.club
State Bank of India (SBI),yonobusiness.sbi,zynbusiness.com
HDFC Bank,hdfcergo.com,hdfcergorenewalinsurancepolicys.in
State Bank of India (SBI),onlinesbi.sbi,onlinema3c.com
State Bank of India (SBI),onlinesbi.sbi,online-games-casino.co.uk
State Bank of India (SBI),onlinesbi.sbi,onlinecaptain.cloud
State Bank of India (SBI),onlinesbi.sbi,onlinedkb.com
State Bank of India (SBI),sbiepay.sbi,sipays.com
State Bank of India (SBI),onlinesbi.sbi,onlineindex.dk
State Bank of India (SBI),sbi.co.in,sbianova.com
State Bank of India (SBI),onlinesbi.sbi,onlineproz.link
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,corgi.company
State Bank of India (SBI),sbi.co.in,5kbij.top
State Bank of India (SBI),onlinesbi.sbi,online2025sabong.com
State Bank of India (SBI),onlinesbi.sbi,0nesnb.info
State Bank of India (SBI),onlinesbi.sbi,onlinebanking2510.online
State Bank of India (SBI),onlinesbi.sbi,onl23s.info
State Bank of India (SBI),onlinesbi.sbi,online-cn.net
Airtel,airtel.in,airatelier.com
State Bank of India (SBI),sbi.co.in,sobrio.shop
State Bank of India (SBI),onlinesbi.sbi,onlineslotsukcasino-uk.com
National Informatics Centre (NIC),accounts.mgovcloud.in,govftpcloud.com
