Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
Indian Oil Corporation Limited (IOCL),iocl.com,iocl.store
State Bank of India (SBI),onlinesbi.sbi,onlinerushreview.com
State Bank of India (SBI),onlinesbi.sbi,onlinesmp.com
State Bank of India (SBI),sbicard.com,sicarupad.com
State Bank of India (SBI),onlinesbi.sbi,onlinezimbrasupportteam.com
Airtel,airtel.in,arkatel.net
Airtel,airtel.in,artisteel.org
State Bank of India (SBI),onlinesbi.sbi,onlineto.online
State Bank of India (SBI),onlinesbi.sbi,onlinetuhafiye.co
Punjab National Bank (PNB),netpnb.com,netionbd.com
State Bank of India (SBI),onlinesbi.sbi,onlinemovieshd.org
State Bank of India (SBI),onlinesbi.sbi,onlinethdesignal.shop
Airtel,airtel.in,airtec-t.com
State Bank of India (SBI),sbi.co.in,5dbwib.bond
State Bank of India (SBI),yonobusiness.sbi,nplbusiness.in
State Bank of India (SBI),sbi.co.in,sebiv.xyz
HDFC Bank,hdfcbank.com,hdfcbank.vip
State Bank of India (SBI),onlinesbi.sbi,onlinedoc.online
Airtel,airtel.in,airsysteml.com
State Bank of India (SBI),onlinesbi.sbi,onlinernews.com
State Bank of India (SBI),onlinesbi.sbi,onlinenow.bar
Airtel,airtel.in,airbattles.com
State Bank of India (SBI),onlinesbi.sbi,onlinecv.org
State Bank of India (SBI),onlinesbi.sbi,onlineshoppez.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinessgrowthmate.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,casori.shop
State Bank of India (SBI),sbicard.com,scards.fun
Indian Oil Corporation Limited (IOCL),iocl.com,ia01.com.br
State Bank of India (SBI),sbi.co.in,sbigosz.sbs
State Bank of India (SBI),sbicard.com,simcar.pro
State Bank of India (SBI),sbi.co.in,sbidatix.com
State Bank of India (SBI),onlinesbi.sbi,onlinesteroidsuk.org
State Bank of India (SBI),onlinesbi.sbi,onlineedu.sbs
State Bank of India (SBI),onlinesbi.sbi,onlineorgasm.com
State Bank of India (SBI),onlinesbi.sbi,onlinetire.fr
Indian Oil Corporation Limited (IOCL),iocl.com,ioca.ch
Bank of Baroda (BoB),bankofbaroda.in,bankau.biz
State Bank of India (SBI),onlinesbi.sbi,onlinecasino.pub
State Bank of India (SBI),sbi.co.in,5aebia.sbs
State Bank of India (SBI),onlinesbi.sbi,onlinebusiness2026.ru
State Bank of India (SBI),onlinesbi.sbi,onlinesabongbet.com
Indian Oil Corporation Limited (IOCL),iocl.com,innoclan.com
Bank of Baroda (BoB),bankofbaroda.in,bankofamericatel.com
Punjab National Bank (PNB),netpnb.com,n3tnt.top
State Bank of India (SBI),onlinesbi.sbi,onlinecasinos-usa.org
State Bank of India (SBI),onlinesbi.sbi,online-spin.xyz
Bank of Baroda (BoB),bankofbaroda.in,bankofanimals.org
State Bank of India (SBI),onlinesbi.sbi,onlinevillam.com
State Bank of India (SBI),onlinesbi.sbi,online-casino-ideal.online
State Bank of India (SBI),onlinesbi.sbi,0nlin3.com
State Bank of India (SBI),sbilife.co.in,swimlife.ch
National Informatics Centre (NIC),accounts.mgovcloud.in,xxmovscloud.com
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,irchet.ru
State Bank of India (SBI),sbi.co.in,sbp-id.ru
State Bank of India (SBI),onlinesbi.sbi,onlinetoo1s.com
Airtel,airtel.in,agireel.com
State Bank of India (SBI),onlinesbi.sbi,onlinewebstat.com
State Bank of India (SBI),sbiepay.sbi,smitepay.com
State Bank of India (SBI),onlinesbi.sbi,onlinekabadighaziabad.in
State Bank of India (SBI),onlinesbi.sbi,onlineslimmer.com
State Bank of India (SBI),onlinesbi.sbi,online-hinweis.com
