Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),sbi.co.in,shbaix.com
State Bank of India (SBI),onlinesbi.sbi,onlinecs.sbs
State Bank of India (SBI),onlinesbi.sbi,online-tires.net
State Bank of India (SBI),onlinesbi.sbi,onlinepopshop.com
State Bank of India (SBI),onlinesbi.sbi,onlineproz.link
Airtel,airtel.in,aird-tech.com
Airtel,airtel.in,aiteller.app
State Bank of India (SBI),onlinesbi.sbi,onlineadvoc8se.org
State Bank of India (SBI),onlinesbi.sbi,onlinemoviez.online
Bank of Baroda (BoB),bankofbaroda.in,bankofamericacn.com
Airtel,airtel.in,airlinetax.com
Airtel,airtel.in,airobot1.com
State Bank of India (SBI),onlinesbi.sbi,onlinewebsoft.com
Bank of Baroda (BoB),bankofbaroda.in,bankonoc.org
National Informatics Centre (NIC),accounts.mgovcloud.in,mooncloud.com
State Bank of India (SBI),onlinesbi.sbi,onlinemoviez.com
State Bank of India (SBI),sbilife.co.in,simplifee.cc
State Bank of India (SBI),sbi.co.in,sbiowlm.sbs
State Bank of India (SBI),onlinesbi.sbi,onlinemoviez.info
Punjab National Bank (PNB),netpnb.com,netbetpn.net
State Bank of India (SBI),onlinesbi.sbi,onlinetoo1s.com
State Bank of India (SBI),onlinesbi.sbi,onlinecasinoportugal.games
HDFC Bank,hdfc.com,hdcc.online
Bank of Baroda (BoB),bankofbaroda.in,bankof.capital
State Bank of India (SBI),onlinesbi.sbi,onlineshieldhub.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinessaufbauen.net
State Bank of India (SBI),onlinesbi.sbi,onlinednb.com
HDFC Bank,hdfclife.com,hdfm13.top
Bank of Baroda (BoB),bankofbaroda.in,bankofindiabank.com
Airtel,airtel.in,airtize.site
Punjab National Bank (PNB),netpnb.com,netprobing.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinessgrowthmate.com
Airtel,airtel.in,airtize.online
Airtel,airtel.in,artilex.ai
State Bank of India (SBI),onlinesbi.sbi,onlinepsikolog.site
State Bank of India (SBI),onlinesbi.sbi,onlineras.com
State Bank of India (SBI),onlinesbi.sbi,onlinesujhav.in
State Bank of India (SBI),onlinesbi.sbi,onlinebudapest.com
State Bank of India (SBI),onlinesbi.sbi,onlinehustle.site
State Bank of India (SBI),onlinesbi.sbi,onlineupsc.com
Indian Oil Corporation Limited (IOCL),iocl.com,bioclc.org
State Bank of India (SBI),onlinesbi.sbi,onlineslotsuk.site
HDFC Bank,hdfc.com,ashdfc.top
State Bank of India (SBI),onlinesbi.sbi,onlinespeakingenglish.com
State Bank of India (SBI),onlinesbi.sbi,onlineifstherapy.com
Airtel,airtel.in,airaatradelinks.com
