Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,onlinedocshub.com
State Bank of India (SBI),onlinesbi.sbi,onlinewebsitemaker.in
State Bank of India (SBI),sbilife.co.in,biglife.fr
National Informatics Centre (NIC),accounts.mgovcloud.in,mzgcloud.bond
Airtel,airtel.in,ajirahotels.site
State Bank of India (SBI),sbi.co.in,spbi.se
State Bank of India (SBI),onlinesbi.sbi,onlinesim.travel
State Bank of India (SBI),sbi.co.in,subi.earth
State Bank of India (SBI),onlinesbi.sbi,onlines.info
Bank of Baroda (BoB),bobibanking.com,bobsbank.info
State Bank of India (SBI),yonobusiness.sbi,dngbusiness.com
State Bank of India (SBI),sbilife.co.in,sbslife.net
State Bank of India (SBI),onlinesbi.sbi,onlineeduguide.in
Bank of Baroda (BoB),bobibanking.com,boink.bot
State Bank of India (SBI),onlinesbi.sbi,online-skool.com
State Bank of India (SBI),sbilife.co.in,blisslife.online
State Bank of India (SBI),onlinesbi.sbi,onlineenilno.net
Airtel,airtel.in,air.estate
State Bank of India (SBI),sbi.co.in,stabix.store
Indian Oil Corporation Limited (IOCL),iocl.com,io-clash.com.cn
State Bank of India (SBI),onlinesbi.sbi,online-casino.irish
State Bank of India (SBI),onlinesbi.sbi,online-tekstbureau.nl
State Bank of India (SBI),onlinesbi.sbi,onlinerbx.org
State Bank of India (SBI),onlinesbi.sbi,online-superiority.com
State Bank of India (SBI),sbilife.co.in,seri-life.com
State Bank of India (SBI),onlinesbi.sbi,onlinecasino18.net
State Bank of India (SBI),sbi.co.in,sobit.site
State Bank of India (SBI),sbi.co.in,sbbi.info
